id;start_date;end_date;language
1;2019-12-23T07:03:59;2019-12-23T04:54:14;SPANISH
2;2019-12-22T11:54:10;2019-12-23T06:58:35;SPANISH
3;2019-12-23T02:49:29;2019-12-22T13:23:38;FRENCH
4;2019-12-22T18:07:00;2019-12-23T05:38:26;FRENCH
5;2019-12-23T03:37:18;2019-12-23T08:24:17;FRENCH
6;2019-12-22T21:29:39;2019-12-23T09:37:53;FRENCH
7;2019-12-22T23:14:59;2019-12-22T17:05:50;FRENCH
8;2019-12-22T22:11:12;2019-12-23T08:27:20;SPANISH
9;2019-12-22T20:52:21;2019-12-22T17:33:44;SPANISH
10;2019-12-23T05:04:25;2019-12-22T15:38:55;SPANISH
